channel_id,channel_title,niche,subscriber_count
UCCTHtVMXy9gQA8X_HOEJA2A,Gis com Giz Matemática,"['educação', 'escola', 'estudo', 'aprendizado']",4060000
UCqLLvE_v2ktQVFO_TnSQoTg,Matemática em Evidência,"['educação', 'escola', 'estudo', 'aprendizado']",530000
UCyLFt2mI7bgRzkCnu5eM0Fw,Clarissa Pereira Pedagoga,"['educação', 'escola', 'estudo', 'aprendizado']",260000
UC-sYio3O37PwSnznSztKK_g,Ministério Ensinando de Sião,"['educação', 'escola', 'estudo', 'aprendizado']",226000
UCTAE3t96gJbgn1K-0yaPV2Q,Estúdio Educação MG,"['educação', 'escola', 'estudo', 'aprendizado']",112000
UCLJRNys58t787upHb8yKBLA,Hamurabi Messeder,"['educação', 'escola', 'estudo', 'aprendizado']",89200
UC6nu3U4jp2crWY9oPdk8AJg,Profa Renata Glória Rede de Aprendizagem,"['educação', 'escola', 'estudo', 'aprendizado']",66900
UCjeabqMRedljoStIFleNSnA,Descomplica pra Escolas,"['educação', 'escola', 'estudo', 'aprendizado']",26900
UCKJUHyvt12eYC33e9MNRxDQ,Escribo - Inovação para o aprendizado,"['educação', 'escola', 'estudo', 'aprendizado']",25500
UCKSrS0neoalx8p9dmMRWEqA,Aprender e Estudar em Casa,"['educação', 'escola', 'estudo', 'aprendizado']",15800
UCuisdUcoQsu07YQgTB39e9Q,Escola de Apoio Meu Dever de Casa,"['educação', 'escola', 'estudo', 'aprendizado']",10900
UC0oGRi-57y7j6V8QmBKHqLw,Clube da Aprendizagem,"['educação', 'escola', 'estudo', 'aprendizado']",7600
UCmqQnCESqoOC767Un_FG3ww,Centro de Educação - UFPB,"['educação', 'escola', 'estudo', 'aprendizado']",7210
UCaxspg9Alk-lADtJwFMhw_A,Axovi Educação,"['educação', 'escola', 'estudo', 'aprendizado']",6860
UCwYrYqAaUdEtigwzcI9ptPw,Canal Vinci,"['educação', 'escola', 'estudo', 'aprendizado']",5430
UCPZyq3g43o1huTeNPhMDAEw,Gestão Escolar e Educacional com a Profa. Patrícia,"['educação', 'escola', 'estudo', 'aprendizado']",3660
UCfwbykJ_2Be5qUA0MLcBiWw,UnB Mais Educação,"['educação', 'escola', 'estudo', 'aprendizado']",3040
UCe8Ke1dCSMM9zbqoYdBM4jw,Ensino MaisO2,"['educação', 'escola', 'estudo', 'aprendizado']",3020
UCQCSw1vmUoLGiK6w5PrJ4jw,EcoHabitare - Projetos Educacionais,"['educação', 'escola', 'estudo', 'aprendizado']",2700
UCW2l-8pOkWldiq_2AazE9KQ,Escola Parque,"['educação', 'escola', 'estudo', 'aprendizado']",2500
UCU48v70GLG4wBNsS3yGKuKg,Evolua Educação,"['educação', 'escola', 'estudo', 'aprendizado']",2000
UCVWukRfa8glZDqh8OnGes6Q,LaPEF FEUSP,"['educação', 'escola', 'estudo', 'aprendizado']",1800
UCjBwY19OaH1GjHrnUIqLZNA,CIÊNCIA DO APRENDER Julio Luchmann,"['educação', 'escola', 'estudo', 'aprendizado']",856
UCXeL_Q6xpjNukbqcrjNSoRw,gepeme,"['educação', 'escola', 'estudo', 'aprendizado']",814
UCPpFcXx3JQ4qI2ByBoaXMOA,Escola Máximu's,"['educação', 'escola', 'estudo', 'aprendizado']",776
UC3rCeHEfvPoeQECj9edoFaA,Escola do Professor,"['educação', 'escola', 'estudo', 'aprendizado']",773
UCxZv3a0TLu9zKUptYt5oY7Q,Resenha Educação,"['educação', 'escola', 'estudo', 'aprendizado']",714
UCmjjEtnmVvDNJAkpQmU6gUA,Passatempo Educativo,"['educação', 'escola', 'estudo', 'aprendizado']",574
