Canal,Link,Número de Inscritos
Flow Podcast,https://www.youtube.com/channel/UC4ncvgh5hFr5O83MH7-jRJg,5560000
Jay Shetty Podcast,https://www.youtube.com/channel/UCbk_QsfaFZG6PdQeCvaYXJQ,2860000
Fala Glauber Podcast,https://www.youtube.com/channel/UC3BM4LVGTrG5OER815AM7Bg,2540000
PBD Podcast,https://www.youtube.com/channel/UCGX7nGXpz-CmO_Arg-cgJ7A,1870000
Venus Podcast,https://www.youtube.com/channel/UCTBhsXf_XRxk8w4rMj6WBOA,1200000
Os Sócios Podcast,https://www.youtube.com/channel/UCzJPdSTGj7KPZLjaOatWS4A,1140000
Link Podcast,https://www.youtube.com/channel/UCKmWDwRRI-B8tE6dflSkmxg,692000
Charla Podcast,https://www.youtube.com/channel/UCPHvx0NxJubMU8QqZ6X_Efw,689000
Irmãos Dias Podcast,https://www.youtube.com/channel/UChBtPExX9RjCdmpAizK7ccQ,688000
Przemek Górczyk Podcast,https://www.youtube.com/channel/UCrKY6A2xsHXgw3MK9mkan5w,471000
SantoFlow Podcast,https://www.youtube.com/channel/UC7_YdQMBjtcorD6ALKCoyPQ,393000
Podcast Papagaio Falante,https://www.youtube.com/channel/UC70jPjnfhV9dlyDOjjIBUGA,317000
Lutz Podcast,https://www.youtube.com/channel/UCG0FxF6ByyzbYHl_x40TD4g,276000
Red Pill Podcast,https://www.youtube.com/channel/UCOmgZM9a03QjICfkCaxcjYA,258000
Sem Groselha Podcast,https://www.youtube.com/channel/UClqw5bFCDcxPmgHb8yMfP3w,233000
Anima Podcast,https://www.youtube.com/channel/UCyyC9-3IqkScHi8dGQzuDEw,215000
No Fugazee Podcast,https://www.youtube.com/channel/UCvc7CqqGdpqg2vZn0bHPG_Q,198000
Bibotalk,https://www.youtube.com/channel/UCZl3mcHQ9qNBq1YWCPdkXhQ,170000
Arlindo Orlando,https://www.youtube.com/channel/UClA-3HGutw38ezIdPo9oUjg,158000
KATON Podcast,https://www.youtube.com/channel/UCN-ZJYG97S-Iqr6sxNquw1A,154000
Fala Guará - Podcast,https://www.youtube.com/channel/UCAd61-XtxOGR5UV9YefCMpQ,149000
Isto Não É - PodCast,https://www.youtube.com/channel/UC-jgLOHfbUBZuGwbDvms29Q,129000
Kritikê Podcast,https://www.youtube.com/channel/UC1m1ZZfQYChRZ3aPI6SqZng,115000
Rubias de Farmacia Podcast,https://www.youtube.com/channel/UCjNB06s0pU733iGfw85GVlg,104000
PodDoutor Podcast,https://www.youtube.com/channel/UCZC3VvsdAhNnwZfg1-woHYQ,101000
+/- Podcast,https://www.youtube.com/channel/UCXHuyohKKivc389LD8ET7QQ,88100
Podcast Desinformação,https://www.youtube.com/channel/UC6Y5eAyPvXRkrDlgruro3CA,78600
Brito Podcast,https://www.youtube.com/channel/UCov2H4flKsYLstWTi-yvkSA,75400
Podcast Boa Conversa,https://www.youtube.com/channel/UCDlgPPa4GUWd6oEU5r3v6ig,70700
Cunversa é essa Podcast.,https://www.youtube.com/channel/UCsw51zmGLfk8es9vvjGfRow,69100
Expuestas Podcast,https://www.youtube.com/channel/UCzh0YudtMePN0cFjtGpRWYg,60700
Enfrascados Podcast,https://www.youtube.com/channel/UCITAaQkt6FJvZvkwf_CgFog,57300
Cortes Katon Podcast [OFICIAL],https://www.youtube.com/channel/UC64tJtbdc6YupUlo5ZISU3Q,49700
Fala Ordinário Podcast,https://www.youtube.com/channel/UCedrIYD-VwjgfcH3_PJ1Xgw,41500
Podcast do Zooi,https://www.youtube.com/channel/UC2648URMopRjuRMOLt10yTg,39800
LIN Podcast,https://www.youtube.com/channel/UCoCQ7g7G_4p2S-dBSLIIONA,37700
LHDA PODCAST,https://www.youtube.com/channel/UCV1WCVexFXNTq_t5Z4xgGNw,37300
Todo Dia Podcast,https://www.youtube.com/channel/UCTHiF9H7-euhmTKZxOa4l0A,35000
Papo de Cria Podcast,https://www.youtube.com/channel/UCu-IL6WTA3wwKVcmJIfoJYg,31900
VAZCast | Unifatecie EAD | Prof. Fábio Vaz,https://www.youtube.com/channel/UCQ8raXd1Gmh6DDRW-mP1FqA,28100
DE PAPO PODCAST,https://www.youtube.com/channel/UCkBeMLWsDl3GL_zv1oG73UA,27600
The Daily Talk Show - Australian Podcast,https://www.youtube.com/channel/UCNl_4FD4qQdZZJMzAM7LJqQ,25600
Podcast  Apocalipse 2:10,https://www.youtube.com/channel/UCgDcJ1T-B1Nz7CVe3MqLrdw,24800
