channel_id,channel_title,channel_url,niche,subscriber_count
UCHaHD477h-FeBbVh9Sh7syA,BBC Learning English,https://www.youtube.com/channel/UCHaHD477h-FeBbVh9Sh7syA,e-learning,6650000
UC4ncvgh5hFr5O83MH7-jRJg,Flow Podcast,https://www.youtube.com/channel/UC4ncvgh5hFr5O83MH7-jRJg,estudo,5560000
UCWZoPPW7u2I4gZfhJBZ6NqQ,Inteligência Ltda,https://www.youtube.com/channel/UCWZoPPW7u2I4gZfhJBZ6NqQ,conhecimento,4370000
UC3BM4LVGTrG5OER815AM7Bg,Fala Glauber Podcast,https://www.youtube.com/channel/UC3BM4LVGTrG5OER815AM7Bg,instrução,2540000
UCfMA8s_QXPPcuOTjTDFb4vA,PrimoCast,https://www.youtube.com/channel/UCfMA8s_QXPPcuOTjTDFb4vA,estudo,1080000
UCMelqgWsTe9ZZbmxbnxtxMA,BrunetCast,https://www.youtube.com/channel/UCMelqgWsTe9ZZbmxbnxtxMA,estudo,421000
UC7_YdQMBjtcorD6ALKCoyPQ,SantoFlow Podcast,https://www.youtube.com/channel/UC7_YdQMBjtcorD6ALKCoyPQ,formação,393000
UCZFn91w0Ozjk3DQFHa3gP3g,Ned's Declassified Podcast Survival Guide,https://www.youtube.com/channel/UCZFn91w0Ozjk3DQFHa3gP3g,instrução,349000
UCt1CSYaEKaRHL4yE9efBsuw,CopCast ,https://www.youtube.com/channel/UCt1CSYaEKaRHL4yE9efBsuw,formação,307000
UCG0FxF6ByyzbYHl_x40TD4g,Lutz Podcast,https://www.youtube.com/channel/UCG0FxF6ByyzbYHl_x40TD4g,aprendizado,276000
UClqw5bFCDcxPmgHb8yMfP3w,Sem Groselha Podcast,https://www.youtube.com/channel/UClqw5bFCDcxPmgHb8yMfP3w,escola,233000
UCk0ZtCqxoYJa5H_ldj602-Q,Podcast Emprende Aprendiendo,https://www.youtube.com/channel/UCk0ZtCqxoYJa5H_ldj602-Q,capacitação,228000
UCIHwyJi76D027pbkzct731g,Eslen Podcast,https://www.youtube.com/channel/UCIHwyJi76D027pbkzct731g,estudo,222000
UCP3CtEXi5nxbhei_aBfIOVA,Marcelo Andrade ,https://www.youtube.com/channel/UCP3CtEXi5nxbhei_aBfIOVA,conhecimento,219000
UCN-ZJYG97S-Iqr6sxNquw1A,KATON Podcast,https://www.youtube.com/channel/UCN-ZJYG97S-Iqr6sxNquw1A,ensino superior,154000
UCAd61-XtxOGR5UV9YefCMpQ,Fala Guará - Podcast,https://www.youtube.com/channel/UCAd61-XtxOGR5UV9YefCMpQ,estudos,149000
UCJZbcAJrwU3eNL6cM1EaQtg,PODCAST do MHM,https://www.youtube.com/channel/UCJZbcAJrwU3eNL6cM1EaQtg,instrução,139000
UC0KwKx0w0F5X2psAgVQ8WUA,DP Podcast,https://www.youtube.com/channel/UC0KwKx0w0F5X2psAgVQ8WUA,estudo,137000
UCIjpEN_ju7BTSETUi13-pIg,Metadata Podcast,https://www.youtube.com/channel/UCIjpEN_ju7BTSETUi13-pIg,instrução,117000
UCQAfMlvFg-FjDBy6raDWD4A,TalksbyLeo Podcast,https://www.youtube.com/channel/UCQAfMlvFg-FjDBy6raDWD4A,ensino,84700
UC6Y5eAyPvXRkrDlgruro3CA,Podcast Desinformação,https://www.youtube.com/channel/UC6Y5eAyPvXRkrDlgruro3CA,docência,78600
UCNxLdMvROkX9Ei88zN6ePOQ,Inglês do Zero,https://www.youtube.com/channel/UCNxLdMvROkX9Ei88zN6ePOQ,aprendizado,53400
UCj9CyyH6nVZCFkLP1oxtXuA,Cortes do Bolder Podcast [Oficial],https://www.youtube.com/channel/UCj9CyyH6nVZCFkLP1oxtXuA,ensino superior,48400
UCe8h7zh7mLCpvOC-Bmaz1gQ,Bolder Podcast,https://www.youtube.com/channel/UCe8h7zh7mLCpvOC-Bmaz1gQ,ensino,42200
UCPLjBog5ETAmKddIBmGtV9w,Hope Hour Podcast,https://www.youtube.com/channel/UCPLjBog5ETAmKddIBmGtV9w,educação,39000
UCSjnBSU0AaeTwxyeeEjwwng,Extremos - Podcast G4 Educação,https://www.youtube.com/channel/UCSjnBSU0AaeTwxyeeEjwwng,educação,30300
UC1_XS5sGr8_Lryca3OYB6gQ,INTERROGANDO PODCAST,https://www.youtube.com/channel/UC1_XS5sGr8_Lryca3OYB6gQ,estudo,28100
UCMYSS86ypzIu6TCQOCj1K8g,Atos Podcast Oficial,https://www.youtube.com/channel/UCMYSS86ypzIu6TCQOCj1K8g,formação,25700
UCPzA7lZCeFiafe9V9bamISw,Cientística & Podcast Naruhodo,https://www.youtube.com/channel/UCPzA7lZCeFiafe9V9bamISw,pedagogia,24600
UC3SEP8fdNL5atIjI0UezRog,Podcast Podpassar,https://www.youtube.com/channel/UC3SEP8fdNL5atIjI0UezRog,estudo,21100
UCNeGaUKFbX1pWjGgOm3hJKg,Podcast Profissão Policial,https://www.youtube.com/channel/UCNeGaUKFbX1pWjGgOm3hJKg,capacitação,20500
UCBmE4zk6O617RcunHUQVb1w,Medicina Arretada | Podcast | Educação Médica,https://www.youtube.com/channel/UCBmE4zk6O617RcunHUQVb1w,educação,20400
UC3vaxQcvaxJ0xH6080x4Asw,eGPlearning,https://www.youtube.com/channel/UC3vaxQcvaxJ0xH6080x4Asw,e-learning,16000
