Canal,Link,Número de Inscritos
Os Sócios Podcast,https://www.youtube.com/channel/UCzJPdSTGj7KPZLjaOatWS4A,1140000
+ Kwanza ,https://www.youtube.com/channel/UCvbSF26b6CTJN2qpYoKH8Pg,51100
Versão Digital Podcast,https://www.youtube.com/channel/UC2uyLM1jBfxCsmfzjX9PzXA,29300
Amanda Cortes - Marketing Digital,https://www.youtube.com/channel/UC5G9E6_CnMhNJ0uRhIyspgQ,13700
Fork Podcast,https://www.youtube.com/channel/UCEfkifEE-mVnDRoU4_hQoEQ,11600
Coffee Power Podcast,https://www.youtube.com/channel/UCY7bU8okAnt7vG3OHmf9u3g,10200
Fundadores: Podcast de Startups y Emprendimiento.,https://www.youtube.com/channel/UCcv7VbXd1moqFmsLe9iT_KA,9840
The Startup Operator,https://www.youtube.com/channel/UCOt_E5G1aSN5xCe32tFeCaw,8750
Start Up Podcast PH,https://www.youtube.com/channel/UC3OM1fve7rqc7bKM1hQxdWg,5360
Blue Farm,https://www.youtube.com/channel/UCTGOkTxUQzzFZOQijRTFeqQ,4700
PodCast ContraPonto,https://www.youtube.com/channel/UCpUIZVcxN7fYEdaKaRCxzjA,4420
Podcast Gestão iLTDA,https://www.youtube.com/channel/UC14EdP1GR6gKkn80yBiEH6Q,3720
PodCast Empreendendo na europa,https://www.youtube.com/channel/UCvLLOk0GBtYS95CTKvz7MyA,3300
Relaciocinando Podcast,https://www.youtube.com/channel/UCdAxPwp4ybJaqWzjkSg_VNw,3210
AP-GO PODCAST,https://www.youtube.com/channel/UC3rnQFXRgmebALl3CkeAO4w,3140
EmpreendaCast | Podcast de Empreendedorismo,https://www.youtube.com/channel/UCWIDwxpFvgxaWTAivCawq3A,3030
LIKE A BOSS PODCAST ,https://www.youtube.com/channel/UCO0tjVWBxGYVv_YN4d0MoXg,2770
Direito 4.0 Podcast,https://www.youtube.com/channel/UCOt1hB_WwhW7W3k3bfc-bWw,2730
Engenharia Podcast,https://www.youtube.com/channel/UCaJTmu38lsC0_ZM-xaRHeQA,2730
A Diretoria. O Podcast.,https://www.youtube.com/channel/UC0zCF20ATA0z59qvWBYQVUA,2340
Receita de Sucesso Podcast,https://www.youtube.com/channel/UCxX-0wItKgloYfmkmaz0FTg,2210
Quarto Poder Podcast,https://www.youtube.com/channel/UCiczFDYI_Y6WCxZHcuH11Cw,2070
Reset Podcast,https://www.youtube.com/channel/UCO9yHkYielj53eAwo0aCO2Q,2000
Toca Ficha Podcast,https://www.youtube.com/channel/UCCKkOoAjAYilKPUCkLZNlfQ,1900
Talu Concept Podcast,https://www.youtube.com/channel/UC_CR-A0jbfK7gCnTpmd4IKQ,1380
Foguete Sem Ré Podcast,https://www.youtube.com/channel/UCUc7sc3PiSwsz2DM58mxaWA,1360
YPOcast,https://www.youtube.com/channel/UCAl9tQeAJ90upGH72rG0Okw,1360
Empreendedorama Podcast ,https://www.youtube.com/channel/UCT_59-RceqdeJCHRGTid7Ng,1320
Essencial Podcast,https://www.youtube.com/channel/UCwUZ2-uhxExDcVgZwJOvxvw,1230
Cortes Podcast Empresa Autogerenciável,https://www.youtube.com/channel/UCx03P7ouB3SXjxOW60bP6Vg,1130
Company Podcast | Empreendedorismo,https://www.youtube.com/channel/UCdIOY0LbKiGkU-4qVatwv7g,1100
Capital Business Podcast,https://www.youtube.com/channel/UCRy9gKJN_wcApyg8wuzNxuw,1090
Podcast Empreender,https://www.youtube.com/channel/UC2dtS8s8Tc_4nN27rosUGQg,861
Dá Pra Ser Podcast,https://www.youtube.com/channel/UCLzdzfz6iKWP6OUSDE_Aw4Q,798
Manancial Podcast ,https://www.youtube.com/channel/UCjS4y5GVPifTXzo4_VOKdUQ,789
PROLIVE Podcast,https://www.youtube.com/channel/UCq2Jt9WQKiN8ffl2yH210NA,764
Negócio Porreta Podcast,https://www.youtube.com/channel/UCDO92Yq04-XVMbOZVPEq9jQ,758
GF CAST - Podcast de empreendedorismo,https://www.youtube.com/channel/UCLEN8PuqcBRlyrw8G4JrgJQ,746
"Ignite: Conversations on Startups, VC, and Society",https://www.youtube.com/channel/UCe9Kc7HMhXKqRddgJN01jNw,745
Business Meeting Podcast,https://www.youtube.com/channel/UCw79ljw7i_O7QNPdbgQx5oA,725
O Novo Digital - Podcast,https://www.youtube.com/channel/UCv9oRAX-y4VVz3Hh2TbRO4w,719
O Negócio,https://www.youtube.com/channel/UCfj3v-YiL1QeoYnvg1LEaBA,674
Podcast Sucesso em Pauta,https://www.youtube.com/channel/UCheA-A7YI6gHXNWMw-Efa-Q,561
Podcast Carreira e Negócios,https://www.youtube.com/channel/UCX-Zs32Ei4n9tZG0fzskfcg,559
Notopo Oficial - Podcast,https://www.youtube.com/channel/UC6Ss9uojLkVlz83e-qorgPA,511
