Canal,Link,Número de Inscritos
Charla Podcast,https://www.youtube.com/channel/UCPHvx0NxJubMU8QqZ6X_Efw,690000
Thinking Basketball,https://www.youtube.com/channel/UC3HPbvB6f58X_7SMIp6OPYw,594000
THE FIGHT with Teddy Atlas,https://www.youtube.com/channel/UC7D_b_1q4Dxz9ebeEYVVxWQ,308000
Eslen Podcast,https://www.youtube.com/channel/UCIHwyJi76D027pbkzct731g,223000
MMA Hoje,https://www.youtube.com/channel/UCtyPVVelcg7HPnn-WytO4EA,153000
Trader Edvan Cervantes,https://www.youtube.com/channel/UCQ8S1sTNE2MGki2UO6E6o1A,149000
ProBox TV,https://www.youtube.com/channel/UCT7Mm-aRWBZ1Zd2bIXIEsyg,115000
 Futbolaço Podcast,https://www.youtube.com/channel/UCUg0jFGdFLtCVCtfunVS1Jw,93700
Generación MMA,https://www.youtube.com/channel/UCbInCoZGXwjtmyE-qe6KAvw,76700
Tengoose Boxing Gym,https://www.youtube.com/channel/UCPC2bb9jruWbZoahEoaHJoQ,74000
Pelas Pistas Podcast,https://www.youtube.com/channel/UCIsAVvoXseBh3FOzzhpO8rg,67300
Game To Love - Tennis Podcast,https://www.youtube.com/channel/UCf-1b3wusJSFaD03Weg8lOA,59400
Cortes da Roda,https://www.youtube.com/channel/UCs1WvtkK89NDld5uApH3HVg,53600
MMA Podcast,https://www.youtube.com/channel/UCEENuYhnbFiffh6RfcnRE2w,41100
Football Daily Podcasts,https://www.youtube.com/channel/UCnrl3Wl2carejMopb-HtqmA,36700
Aloha Podcast,https://www.youtube.com/channel/UCM0sYhfFeJCM5NYsECF0cHw,35400
Bola Presa,https://www.youtube.com/channel/UCi3mbY6v_opOURS1ofVFCOg,33100
45 Minutos,https://www.youtube.com/channel/UCCt_rvesjcfA7JoAwDdzEfA,29600
Inside Boxing Live,https://www.youtube.com/channel/UC6YLwVRvTnqfqzbaXLZzmkA,28500
Autoracing Podcast,https://www.youtube.com/channel/UCQaAEA2FnZeY5ew6Kl6Kw4A,22900
MMArcade Podcast,https://www.youtube.com/channel/UCi8sq9Kh4nIC3y_UtMXnd2A,22500
Alternativa2Podcast DE TD UM POUCO,https://www.youtube.com/channel/UCklFzgbRfc6o7LdlJ99lEAw,18200
Tennis Legend Podcast,https://www.youtube.com/channel/UC76V1rLkuusW7ZnYfnPAT8g,16800
Cronômetro Zerado,https://www.youtube.com/channel/UCtUq6EAdzHiEtBRqf6uRLcw,13000
The Tennis Podcast,https://www.youtube.com/channel/UC9ZPFOiLoEeOBJseKICaFFQ,10000
PodBão TV,https://www.youtube.com/channel/UCdGkCBgQvh4vV4eUYdSwsrw,9060
Café com Velocidade,https://www.youtube.com/channel/UCXeOto3gOwQiUuFPZOQiXLA,8780
Sparta Podcast,https://www.youtube.com/channel/UC1qdaWZtPKweXMITgSJvLEQ,8020
Les Podcasts Boxe Attitude,https://www.youtube.com/channel/UCeOelsGSEZsnBLbzcUA8Plg,7310
Constellers Podcast,https://www.youtube.com/channel/UCOnHlhq7NVYQFtML5C0_EaQ,7200
Ative Seu DNA Podcast,https://www.youtube.com/channel/UCu1hSKSQj_D-ntuAyn3HKHA,6780
Podcast Tenisbrasil,https://www.youtube.com/channel/UC-ftHU-LFpnYIQ-2hu9pDgA,6510
odemiralivre podcast,https://www.youtube.com/channel/UCVWB02f28wcwwTZ_Mu4nMvg,6160
Surf Splendor - Surf Podcast Network,https://www.youtube.com/channel/UCKnQvHULQJRlkJ5F0BJER8A,5830
PROMMA PODCAST,https://www.youtube.com/channel/UC7I39SbU_jcYiQKCpKYq-2g,5530
VEM NA RODA PODCAST,https://www.youtube.com/channel/UC7KqrMCNdxjdCdht5nrZcRw,5450
Podcast Resenha dos Crias,https://www.youtube.com/channel/UCBGbsZJX4PlCpg9vm9Cq6tA,5390
Fair Play Thinker podcast,https://www.youtube.com/channel/UCz3SOWhRElo3dh4qAEa5_Og,5240
The MMA Draw Podcasts,https://www.youtube.com/channel/UCFoX81d3fNHrcUckyQdRzLQ,5180
MMA SLAM PODCAST,https://www.youtube.com/channel/UCyeqcxo3166YJ-JGQK2v3og,4810
O Bikest,https://www.youtube.com/channel/UCLe8CnucdnqEJRmn7TvXVEw,4680
REI DA LUTA,https://www.youtube.com/channel/UC-MEMITnJOZUOj75ozTdq1w,4640
Buiten De Kooi - MMA Podcast,https://www.youtube.com/channel/UCTLy5wrugZswxF0_AU0o6sQ,4520
CÊFRAGÔ PODCAST,https://www.youtube.com/channel/UCW9Mvd4_3OF5Np59GSOh3Tg,4380
Podcast Podsport,https://www.youtube.com/channel/UC9pN3w4WkPrmPWUj-NGs41w,4120
