Canal,Link,Número de Inscritos
The Command Zone,https://www.youtube.com/channel/UCLsiaNUb42gRAP7ewbJ0ecQ,712000
Charla Podcast,https://www.youtube.com/channel/UCPHvx0NxJubMU8QqZ6X_Efw,690000
Games With Names,https://www.youtube.com/channel/UCFof_j6hnC2WaZWwwW41_gA,382000
Josi TV,https://www.youtube.com/channel/UCc8xM6R39E38DSXL_MRKaaQ,308000
TripleJump,https://www.youtube.com/channel/UCY5xhpH29hcQudilieKD63Q,306000
Cortes do Flow Games,https://www.youtube.com/channel/UCMUJCt_tPOXPnXRMzRpyujw,292000
Rand al Thor 19,https://www.youtube.com/channel/UC1Ze81XDuhJOGbaNq-CZXUA,101000
Nontendo Podcast,https://www.youtube.com/channel/UCysPneD7ZoueoDCOrvHL1kw,89200
EDHRECast,https://www.youtube.com/channel/UCApiDwDpn_JpzRGLZKrdr1g,79300
Podcast Games Latam Magazine,https://www.youtube.com/channel/UCiuDRLZQ3Jpz6WAfz9ll6HQ,45400
PodcastOGRU,https://www.youtube.com/channel/UCjL57vLdE5Ae1frLxevzHaw,42500
Iron Lords Podcast,https://www.youtube.com/channel/UCYiUhEbYWiuwRuWXzKZMBxQ,21400
Timbucast,https://www.youtube.com/channel/UClxEIjZohVtqzeK39aMXftw,17400
KOFI,https://www.youtube.com/channel/UCTOiFD5teVYuoTcO8Uyh9mQ,15700
Game Club Podcast,https://www.youtube.com/channel/UCfwBbkGu8Chh9kPFO1Fx2Bw,12700
RPG Next,https://www.youtube.com/channel/UCEF9JU1pUAyqZn28XM179Dg,12500
Fork Podcast,https://www.youtube.com/channel/UCEfkifEE-mVnDRoU4_hQoEQ,11600
Into the Arena: Hunger Games Podcast,https://www.youtube.com/channel/UCYUiW-X4uh8Yic0-9ByCtRg,11300
Canal Podcastle,https://www.youtube.com/channel/UCVp0h7bGbhCaleAyOt4UI5g,10500
Pompush Podcast,https://www.youtube.com/channel/UCLaty6WyCt03HBxOglcmdAA,8840
The Retro Hour (Retro Gaming Podcast),https://www.youtube.com/channel/UC0dQ6zguAtYuqd0el2_Y9YA,8570
Café com Dungeon,https://www.youtube.com/channel/UC4pAU3yWpMppvW4bDDCJ0Tg,5690
Good Game Podcast,https://www.youtube.com/channel/UCJHb21YKQk1HdsVU7OFwG1A,5110
Ultra N Podcast,https://www.youtube.com/channel/UC8I9T2X0kUQ5w-DgtbtMBgw,4770
The Howie Games,https://www.youtube.com/channel/UCByvB85HszrHZHxWJ23Bc_g,4600
ESPORTS  PODCAST,https://www.youtube.com/channel/UC1iGjriZ8n-C4vmd7JP_iVA,4540
Brazilian Lounge,https://www.youtube.com/channel/UCxRtNfh-iXK2-QRxi3LsAvw,4010
Remember The Game,https://www.youtube.com/channel/UCd9iKbffHQcnDJRWDEVoHBg,3950
Basement Radio Arcade Podcast (BRAP),https://www.youtube.com/channel/UCitbBNCi72FWeprGjlokIsA,3800
The Mental Game Podcast,https://www.youtube.com/channel/UCHHQe1q84g2sUPEFWy1beGw,3760
"Coffee, Cake & Games",https://www.youtube.com/channel/UCY_ig2K-9HA5uvIelBW8OhA,3250
