Canal,Link,Número de Inscritos
Flow Podcast,https://www.youtube.com/channel/UC4ncvgh5hFr5O83MH7-jRJg,5560000
The Wild Project,https://www.youtube.com/channel/UCBYyJBCtCvgqA4NwtoPMwpQ,5320000
Inteligência Ltda,https://www.youtube.com/channel/UCWZoPPW7u2I4gZfhJBZ6NqQ,4370000
Fala Glauber Podcast,https://www.youtube.com/channel/UC3BM4LVGTrG5OER815AM7Bg,2550000
Os Sócios Podcast,https://www.youtube.com/channel/UCzJPdSTGj7KPZLjaOatWS4A,1140000
Marcelo Andrade ,https://www.youtube.com/channel/UCP3CtEXi5nxbhei_aBfIOVA,220000
Xadrez Verbal,https://www.youtube.com/channel/UCsMj2K36ejga547ge5cBscg,204000
Os Economistas Podcast,https://www.youtube.com/channel/UCIX5uq1meeqhtKdBIFwHGWg,140000
PODCAST do MHM,https://www.youtube.com/channel/UCJZbcAJrwU3eNL6cM1EaQtg,140000
Podcast Desinformação,https://www.youtube.com/channel/UC6Y5eAyPvXRkrDlgruro3CA,78700
Investidor Sardinha - Podcast,https://www.youtube.com/channel/UC4jvxmUsusesgOaBduuQS9Q,68900
Viral Podcast ,https://www.youtube.com/channel/UCkgITBhQShYvCZWjwRO2m7A,56600
Cortes Podcast [BRASIL],https://www.youtube.com/channel/UCh6-6RFOBQSQ-Uj_Vho261Q,42900
Made In Brasil Podcast,https://www.youtube.com/channel/UC7-FWhg_j-9Y7-30PaXd5Fw,33700
Top Noticias Tech,https://www.youtube.com/channel/UCjvsXV5u0hw5Uq2Z002qhzA,33500
Matrix PodCast,https://www.youtube.com/channel/UCIgi8w0W4PXoxUfF3Y4EDgw,30700
News Podcast,https://www.youtube.com/channel/UCBGGIqvjNR20CpNRhvzqvTw,28200
Tuguizuca Podcast,https://www.youtube.com/channel/UC0Qn0HIwoj1TVMl0zXXi3jA,18000
Rachel Maddow Presents: Déjà News Podcast,https://www.youtube.com/channel/UC4k4VyMfsftMKm_IpElCY1g,17000
EconOlivia Podcast - Economia com a Olivia,https://www.youtube.com/channel/UC-tTHNFe06Wtd5OgnBwpDUA,16500
Jordan Is My Lawyer - Unbiased Podcast,https://www.youtube.com/channel/UCLuH7A9-XUY3EM6kuAcNAqA,14400
Review PodCast,https://www.youtube.com/channel/UCK5St2Z5iC5NaCtcePrvj8g,10200
MAISON BATISTA - NOTICIAS EM GERAL E  PODCASTS...,https://www.youtube.com/channel/UCg41D63L6UZ3_5YZBo2bGbQ,9160
SOM PODCAST,https://www.youtube.com/channel/UCrMCyWL1_NT2DjxQ0uoZFIA,9100
ToBe Podcast,https://www.youtube.com/channel/UCQaNJcLsUMXaV1LtwFngG3w,7310
Mamíferos Podcast,https://www.youtube.com/channel/UCPbSlJ5905d1fphxot2BqPA,7140
Fala Aí  PodCast,https://www.youtube.com/channel/UC7_R9bAj0X8gecgeYWNUXWQ,6680
Podcast Noticias,https://www.youtube.com/channel/UCzaTNUGAT5Nn5bhEDdaOCsQ,6520
