Canal,Link,Número de Inscritos
Flow Podcast,https://www.youtube.com/channel/UC4ncvgh5hFr5O83MH7-jRJg,5560000
Inteligência Ltda,https://www.youtube.com/channel/UCWZoPPW7u2I4gZfhJBZ6NqQ,4370000
Club Shay Shay,https://www.youtube.com/channel/UCQoxJOkwaCgyzQtiuAIDcuw,3240000
Os Sócios Podcast,https://www.youtube.com/channel/UCzJPdSTGj7KPZLjaOatWS4A,1140000
Anthony Pompliano,https://www.youtube.com/channel/UCevXpeL8cNyAnww-NqJ4m2w,557000
All-In Podcast,https://www.youtube.com/channel/UCESLZhusAkFfsNsApnjF_Cg,513000
WVFRM Podcast,https://www.youtube.com/channel/UCEcrRXW3oEYfUctetZTAWLw,400000
Falatuh podcast,https://www.youtube.com/channel/UCDsSTDR60vaps6NP_g8-XRg,148000
PODCAST do MHM,https://www.youtube.com/channel/UCJZbcAJrwU3eNL6cM1EaQtg,139000
Podcast But Outside,https://www.youtube.com/channel/UCYLvpRntVg6N-b81jSy2-Jw,116000
The Big Data Show,https://www.youtube.com/channel/UCnVhEl576fIHgfneb1KdugA,107000
Cortex Podcast,https://www.youtube.com/channel/UCqoy014xOu7ICwgLWHd9BzQ,87600
TalksbyLeo Podcast,https://www.youtube.com/channel/UCQAfMlvFg-FjDBy6raDWD4A,84700
Unchained,https://www.youtube.com/channel/UCWiiMnsnw5Isc2PP1to9nNw,61900
Real Podcast Oficial,https://www.youtube.com/channel/UCbMwbUGNVOx1OucOGBXu_IA,40000
Coda+Fala,https://www.youtube.com/channel/UCwUlxyV72TBJ38O2g4HGlkQ,31400
The Hardware Unboxed Podcast,https://www.youtube.com/channel/UCqT8Vb3jweH6_tj2SarErfw,26100
Blockchain Podcast,https://www.youtube.com/channel/UClyWLX26MAeN54qyDLziCrA,25900
Cientística & Podcast Naruhodo,https://www.youtube.com/channel/UCPzA7lZCeFiafe9V9bamISw,24600
Epicenter Podcast,https://www.youtube.com/channel/UCh-0T48JrvvmKDX41aWB_Vg,21800
De Lavada Podcast,https://www.youtube.com/channel/UCN_Hun8qwR6ifFHT-GT2YSA,21300
T.E.M.PODCAST,https://www.youtube.com/channel/UCvV2Ow2P8ci6JNpULoFsVgg,18400
The Vergecast,https://www.youtube.com/channel/UCVHdvAX5-R8y5l9xp6nroBQ,18000
Super Data Science: ML & AI Podcast with Jon Krohn,https://www.youtube.com/channel/UCMbtqTGdSsxYYhhTpV4lSTQ,17900
DIY PODCAST,https://www.youtube.com/channel/UClnReuhK35TcpL4y77VfQXA,17600
Nerdcore Podcast,https://www.youtube.com/channel/UC9-YPsihlcV241LhZzTWrjg,16900
Beyond Coding,https://www.youtube.com/channel/UCdMz6KKEDW_1Qqas-ya7S6w,16500
KOFI,https://www.youtube.com/channel/UCTOiFD5teVYuoTcO8Uyh9mQ,15700
CISOCAST BRASIL,https://www.youtube.com/channel/UCueTsgS4ywno1p2BrVtJG5w,14600
PuraMente - Podcast,https://www.youtube.com/channel/UC84762EsTfHHX_5UoYVxQTw,14100
André Faria Show,https://www.youtube.com/channel/UCGTAC6agUfW6aIA9_JCf25g,13500
Eslen Podcast Cortes,https://www.youtube.com/channel/UCDJf8n1CrF7lAJmP-iXKLbA,12000
Fork Podcast,https://www.youtube.com/channel/UCEfkifEE-mVnDRoU4_hQoEQ,11600
Coffee Power Podcast,https://www.youtube.com/channel/UCY7bU8okAnt7vG3OHmf9u3g,10200
Como Fazer podcast,https://www.youtube.com/channel/UCROQ8ml9ZWi19oRDP_-WO1Q,10100
Delivery Sem Filtro O PodCast,https://www.youtube.com/channel/UCXBYMSP-fmOwqdvExkKZ3iA,9500
Podcast Tecnopolítica,https://www.youtube.com/channel/UCDy46jf2mcg8xySzrqV5pxw,9190
The Cloudcast ,https://www.youtube.com/channel/UC-Y6jUuAIg49dRBbBNf_S7w,6590
Por Supuesto Podcast,https://www.youtube.com/channel/UCOJsOrBjjn5DE1nYtBkyMRQ,6180
PODCAFÉ DA TI,https://www.youtube.com/channel/UCg8Bl-SC88LRYEL2KfhqqCA,5910
Real Podcast,https://www.youtube.com/channel/UCd1Z3yqfCbiZgzyZvxOVDhA,5440
PAPO DE PROGRESSO PODCAST,https://www.youtube.com/channel/UCCIOax8Hk7w_Ekgd3KT2-8Q,5030
The Recruitment Mentors Podcast,https://www.youtube.com/channel/UCtvb1c5vVV7d_dlgtmG0XbA,4640
Podcast Gestão iLTDA,https://www.youtube.com/channel/UC14EdP1GR6gKkn80yBiEH6Q,3720
Podcast Inspiração Para Uma Vida Mágica,https://www.youtube.com/channel/UCKY5oA164ZQYaf5kCT4NmpQ,3600
Technisch Gesehen Podcast,https://www.youtube.com/channel/UCD043-M4KfJ9ewK1PjJKVAA,3570
Podcasts de Ciência Legendados,https://www.youtube.com/channel/UCa18Fb49ZBjVE_TmR82n0MA,3490
Sem Rota,https://www.youtube.com/channel/UCO5fGWEedUwfxelvW7zgZNA,3430
TecSec Podcast,https://www.youtube.com/channel/UCFfPOYpCwGt8qEd16j1Wa1Q,3420
The Data Engineering Show - Podcast,https://www.youtube.com/channel/UC2ZltczfvIIJPmSYqtzv_mA,3360
Pizza de Dados,https://www.youtube.com/channel/UCqOX4hl_9DJ5Zmzh8MpgL9A,3280
AP-GO PODCAST,https://www.youtube.com/channel/UC3rnQFXRgmebALl3CkeAO4w,3140
podESQUENTA Podcast,https://www.youtube.com/channel/UCb_UccNzEwQh_GyIS5ckJEw,3040
DATAmérica Podcast,https://www.youtube.com/channel/UCcCKijHngEKXrfLIzdoQ1aA,2940
Área 15 Podcast,https://www.youtube.com/channel/UCUR80FONZZ7eOa_QIHP_aQw,2760
Direito 4.0 Podcast,https://www.youtube.com/channel/UCOt1hB_WwhW7W3k3bfc-bWw,2730
Engenharia Podcast,https://www.youtube.com/channel/UCaJTmu38lsC0_ZM-xaRHeQA,2720
Lançai as Redes Podcast,https://www.youtube.com/channel/UCg75eTlArn50MAtMJrPL-ng,2660
InfoMatters Podcast,https://www.youtube.com/channel/UCzJdj-4iG_NCg2tKe0XJw-w,2430
The Junior Jobs Podcast w/ Erik Andersen,https://www.youtube.com/channel/UCMxVaHzh5afidbp70Dks0KA,2280
WSS Security,https://www.youtube.com/channel/UC3_hDMY4IQLXfQFwb6ud77A,2210
